AirlineID,AirlineName.En,AirlineName.Zh_tw,AirlineNameAlias.En,AirlineNameAlias.Zh_tw,AirlineEmail,AirlineAddress,AirlinePhone,UpdateTime,VersionID,AirlineICAO,AirlineIATA,AirlineNationality
AY,Finnair,,Finnair,,"",,,2024-02-16T08:41:24+08:00,1252,FIN,AY,
AZ,Alitalia,義大利航空,Alitalia,義大利航空,"",台北市長安東路一段25號11樓,02-25682121,2024-02-16T08:41:24+08:00,1252,AZA,AZ,IT
B2,Belavia,,Belavia,,"",,,2024-02-16T08:41:24+08:00,1252,BRU,B2,
B4,ZanAir,,ZanAir,,"",,,2024-02-16T08:41:24+08:00,1252,TAN,B4,
B5,East African Safari Air,,East African Safari Air,,"",,,2024-02-16T08:41:24+08:00,1252,HSA,B5,
B6,JetBlue,,JetBlue,,"",,,2024-02-16T08:41:24+08:00,1252,JBU,B6,
B7,UNI AIRWAYS CORP.,立榮航空,,立榮航空,"",臺北市長安東路2段117號8樓,02-25135533,2024-02-16T08:41:24+08:00,1252,UIA,B7,TW
B8,Eritrean Airlines,,Eritrean Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,ERT,B8,
B9,Iran Airtour Airline,,Iran Airtour Airline,,"",,,2024-02-16T08:41:24+08:00,1252,IRB,B9,
BA,British Airways,英國亞洲,British Airways,,"",,,2024-02-16T08:41:24+08:00,1252,BAW,BA,
BB,Seabornes Airlines,,Seabornes Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,BBB,BB,
BC,Skymark Airlines,,Skymark Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,SKY,BC,
BD,bmi british midland,,bmi british midland,,"",,,2024-02-16T08:41:24+08:00,1252,BMA,BD,
BE,flybe,,flybe,,"",,,2024-02-16T08:41:24+08:00,1252,BEE,BE,
BF,Vincent Aviation,,Vincent Aviation,,"",,,2024-02-16T08:41:24+08:00,1252,VAL,BF,
BG,Biman Bangladesh Airlines,,Biman Bangladesh Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,BBC,BG,
BH,Hawkair Aviation,,Hawkair Aviation,,"",,,2024-02-16T08:41:24+08:00,1252,BHA,BH,
BI,Royal Brunei,汶萊航空,Royal Brunei,汶萊航空,"",,,2024-02-16T08:41:24+08:00,1252,RBA,BI,
BJ,Nouvelair,,Nouvelair,,"",,,2024-02-16T08:41:24+08:00,1252,LBT,BJ,
BK,Okay Airways,,Okay Airways,,"",,,2024-02-16T08:41:24+08:00,1252,OKA,BK,
BL,Pacific Airlines,越南太平洋,,越南太平洋,"",,02-7176774,2024-02-16T08:41:24+08:00,1252,PIC,BL,
BP,Air Botswana,,Air Botswana,,"",,,2024-02-16T08:41:24+08:00,1252,BOT,BP,
BR,EVA Air,長榮航空,EVA Air,長榮航空,"",桃園縣蘆竹鄉新南路一段376號,03-3516219,2024-02-16T08:41:24+08:00,1252,EVA,BR,TW
BS,British International Helicopter,,British International Helicopter,,"",,,2024-02-16T08:41:24+08:00,1252,BIH,BS,
BT,Air Baltic,,Air Baltic,,"",,,2024-02-16T08:41:24+08:00,1252,BTI,BT,
BV,Blue Panorama,,Blue Panorama,,"",,,2024-02-16T08:41:24+08:00,1252,BPA,BV,
BW,Caribbean Airlines,,Caribbean Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,BWA,BW,
BX,AIR BUSAN,韓商釜山航空股份有限公司臺北分公司,,釜山航空,"",台北市中山區建國北路二段33號10樓之4,02-25163355,2024-02-16T08:41:24+08:00,1252,ABL,BX,KR
BY,Thomsonfly,,Thomsonfly,,"",,,2024-02-16T08:41:24+08:00,1252,TOM,BY,
BZ,Blue Bird Aviation,,Blue Bird Aviation,,"",,,2024-02-16T08:41:24+08:00,1252,BBZ,BZ,
C3,Contact Air,,Contact Air,,"",,,2024-02-16T08:41:24+08:00,1252,KIS,C3,
C4,Zimex Aviation,,Zimex Aviation,,"",,,2024-02-16T08:41:24+08:00,1252,IMX,C4,
C5,CommutAir,,CommutAir,,"",,,2024-02-16T08:41:24+08:00,1252,UCA,C5,
C6,Canjet Airlines,,Canjet Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,CJA,C6,
C7,Rico Linhas Aereas,,Rico Linhas Aereas,,"",,,2024-02-16T08:41:24+08:00,1252,RLE,C7,
C9,Cirrus Airlines,,Cirrus Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,RUS,C9,
CA,Air China,大陸商中國國際股份有限公司,Air China,中國國際,"",台北市民生東路3段134號4樓之B,02-27182333,2024-02-16T08:41:24+08:00,1252,CCA,CA,CN
CB,ScotAirways,,ScotAirways,,"",,,2024-02-16T08:41:24+08:00,1252,SAY,CB,
CC,Macair Airlines,,Macair Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,MCK,CC,
CD,Air India Regional,,Air India Regional,,"",,,2024-02-16T08:41:24+08:00,1252,LLR,CD,
CE,Chalair Aviation,,Chalair Aviation,,"",,,2024-02-16T08:41:24+08:00,1252,CLG,CE,
CF,China Postal Airlines,中國郵航,China Postal Airlines,中國郵航,"",,,2024-02-16T08:41:24+08:00,1252,CYZ,CF,CN
CG,Airlines of Papua New Guinea,,Airlines of Papua New Guinea,,"",,,2024-02-16T08:41:24+08:00,1252,TOK,CG,
CH,Bemidji Airlines,,Bemidji Airlines,,"",,,2024-02-16T08:41:24+08:00,1252,BMJ,CH,
CI,China Airlines,中華航空,China Airlines,中華航空,"",桃園縣大園鄉航站南路1號,03-0998888,2024-02-16T08:41:24+08:00,1252,CAL,CI,TW
CJ,BA CityFlyer,,BA CityFlyer,,"",,,2024-02-16T08:41:24+08:00,1252,CFE,CJ,
CK,China Cargo Airlines,中國貨運,China Cargo Airlines,中國貨運,"",,,2024-02-16T08:41:24+08:00,1252,CKK,CK,CN
